id,二元成立,是否成立,案件大類型,案件細節類型,主席,調解人,調解次數,調解人數,have_other,調解天數,收件年,收件月,收件日,結案年,結案月,結案日,收件星期,結案星期,收件分鐘,結案分鐘,死,賠償,糾紛,male_sum,male_mean,聲請人_sum,對造人_sum,法定代理人_sum,委任代理人_sum,公司代表人_sum,age_mean,age_median,age_min,age_max,party_count,age_missing_rate,city_missing_rate,city_mode,money_sum,money_mean,money_first,money_last,調解人過去經手數,調解人過去成功數,調解人過去成功率,案件分類
9800147,0,當事人不到場,A.民事,其他,390000000000000.0,323000000000000.0,1.0,3,0,1.0,2009,3,78,2009.0,3.0,78.0,3,3.0,648.0,900.0,0,1,0,1.0,0.3333333333333333,2.0,1.0,0.0,0.0,0.0,,,,,3.0,1.0,0.6666666666666666,台南,-1.0,-1.0,-1.0,-1.0,0.0,0.0,,車禍
9800150,1,成立,B.刑事,交通事故,390000000000000.0,385000000000000.0,2.0,5,1,34.0,2009,3,78,2009.0,5.0,125.0,3,1.0,1189.0,870.0,0,0,1,3.0,0.6,1.0,2.0,2.0,0.0,0.0,37.0,47.0,16.0,51.0,5.0,0.0,0.0,台南,-1.0,-1.0,-1.0,-1.0,0.0,0.0,,車禍
9800151,0,當事人不到場,A.民事,交通事故,390000000000000.0,,2.0,3,0,17.0,2009,3,82,2009.0,4.0,104.0,0,1.0,530.0,930.0,0,1,0,2.0,0.6666666666666666,1.0,2.0,0.0,0.0,0.0,43.66666666666666,50.0,22.0,59.0,3.0,0.0,0.3333333333333333,台南,-1.0,-1.0,-1.0,-1.0,,,,車禍
9800152,0,聲請人撤回,B.刑事,交通事故,390000000000000.0,304000000000000.0,1.0,3,0,7.0,2009,3,82,2009.0,3.0,90.0,0,1.0,535.0,900.0,0,0,1,1.0,0.3333333333333333,2.0,1.0,0.0,0.0,0.0,48.0,48.0,44.0,52.0,3.0,0.3333333333333333,0.0,台南,-1.0,-1.0,-1.0,-1.0,0.0,0.0,,車禍
9800153,0,當事人不到場,A.民事,其他,390000000000000.0,,2.0,2,0,19.0,2009,3,82,2009.0,4.0,106.0,0,3.0,539.0,900.0,0,0,1,2.0,1.0,1.0,1.0,0.0,0.0,0.0,43.0,43.0,34.0,52.0,2.0,0.0,0.0,台南,-1.0,-1.0,-1.0,-1.0,,,,債務
9800154,0,聲請人撤回,B.刑事,交通事故,390000000000000.0,,2.0,3,0,29.0,2009,3,78,2009.0,4.0,118.0,3,1.0,572.0,870.0,0,0,1,0.0,0.0,2.0,1.0,0.0,0.0,0.0,37.0,37.0,37.0,37.0,3.0,0.6666666666666666,0.3333333333333333,台南,-1.0,-1.0,-1.0,-1.0,,,,車禍
9800157,1,成立,B.刑事,交通事故,390000000000000.0,385000000000000.0,6.0,3,1,53.0,2009,3,86,2009.0,6.0,160.0,4,1.0,874.0,840.0,0,0,1,2.0,0.6666666666666666,1.0,1.0,0.0,1.0,0.0,60.66666666666666,62.0,54.0,66.0,3.0,0.0,0.0,台南,-1.0,-1.0,-1.0,-1.0,2.0,2.0,1.0,車禍
9800158,0,當事人不到場,A.民事,契約/債務,390000000000000.0,323000000000000.0,1.0,2,0,5.0,2009,3,86,2009.0,4.0,92.0,4,3.0,941.0,870.0,0,0,1,1.0,0.5,1.0,1.0,0.0,0.0,0.0,46.0,46.0,33.0,59.0,2.0,0.0,0.0,台南,120800.0,120800.0,120800.0,120800.0,1.0,0.0,0.0,債務
9800159,0,不成立,B.刑事,人身/侵權,390000000000000.0,323000000000000.0,2.0,3,0,40.0,2009,3,86,2009.0,5.0,141.0,4,3.0,977.0,900.0,0,0,1,1.0,0.5,1.0,1.0,0.0,0.0,0.0,40.0,40.0,29.0,51.0,2.0,0.0,0.0,台南,-1.0,-1.0,-1.0,-1.0,0.0,0.0,,車禍
9800161,0,不成立,A.民事,家事,390000000000000.0,390000000000000.0,1.0,2,0,10.0,2009,3,79,2009.0,4.0,92.0,4,3.0,1038.0,900.0,0,0,1,1.0,0.5,1.0,1.0,0.0,0.0,0.0,74.5,74.5,72.0,77.0,2.0,0.0,0.0,台南,1000000.0,1000000.0,1000000.0,1000000.0,0.0,0.0,,債務
