id,案件大類型,案件細節類型,主席,調解人,是否成立,調解次數,調解人數,have_other,調解天數,收件年,收件月,收件日,結案年,結案月,結案日,收件星期,結案星期,收件分鐘,結案分鐘,死,賠償,糾紛,二元成立,male_sum,male_mean,聲請人_sum,對造人_sum,法定代理人_sum,委任代理人_sum,公司代表人_sum,age_mean,age_median,age_min,age_max,party_count,age_missing_rate,city_missing_rate,city_mode,mask_all,money_sum,money_mean,money_first,money_last,調解人過去經手數,調解人過去成功數,調解人過去成功率,案件內容_匿名,LANE_1,ROADNAME_1,LANES_1,CAPACITY_1,SPEED_1,LANE_2,ROADNAME_2,LANES_2,CAPACITY_2,SPEED_2,載具1,載具2,受傷,死亡,車損
9800150,B.刑事,交通事故,390000000000000.0,385000000000000.0,成立,2.0,5.0,1.0,34.0,2009.0,3.0,78.0,2009.0,5.0,125.0,3.0,1.0,1189.0,870.0,0.0,0.0,1.0,1.0,3.0,0.6,1.0,2.0,2.0,0.0,0.0,37.0,47.0,16.0,51.0,5.0,0.0,0.0,台南,"[時間],第3人[人名]騎乘本人[車號]機車搭載[人名]與[人名]駕駛[人名]所有[車號]自小客車,在[地點]發生車禍,[人名]､[人名]､[人名]3人間已於[時間]先行調解成立)現就[人名]身體受傷聲請調解｡",-1.0,-1.0,-1.0,-1.0,0.0,0.0,,民國98年2月7日0時5分許，第3人[姓名]騎乘本人[車牌]號機車搭載[姓名]與[姓名]駕駛[姓名]所有[車牌]號自小客車，在台南市北區海安路3段與338巷口處發生車禍，（[姓名]、[姓名]、[姓名]3人間已於98年4月7日先行調解成立）。,0,海安路,2.0,1850.0,37.0,1,,,,,機車,自小客車,0,0,0
9800151,A.民事,交通事故,390000000000000.0,,當事人不到場,2.0,3.0,0.0,17.0,2009.0,3.0,82.0,2009.0,4.0,104.0,0.0,1.0,530.0,930.0,0.0,1.0,0.0,0.0,2.0,0.6666666666666666,1.0,2.0,0.0,0.0,0.0,43.66666666666666,50.0,22.0,59.0,3.0,0.0,0.3333333333333333,台南,"[時間],[人名]騎乘本人所有[車號]機車,在[地點]發生車禍,致[人名]死亡｡",-1.0,-1.0,-1.0,-1.0,,,,民國98年1月25日19時45分許，[姓名]騎乘本人所有[車牌]號機車，在臺南市公園路與長北街口，與[姓名]之父[姓名]騎乘腳踏車發生車禍，致[姓名]死亡。,0,公園路,2.0,1850.0,37.0,0,長北街,1.0,1760.0,32.0,機車,腳踏車,0,1,0
9800152,B.刑事,交通事故,390000000000000.0,304000000000000.0,聲請人撤回,1.0,3.0,0.0,7.0,2009.0,3.0,82.0,2009.0,3.0,90.0,0.0,1.0,535.0,900.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,2.0,1.0,0.0,0.0,0.0,48.0,48.0,44.0,52.0,3.0,0.3333333333333333,0.0,台南,"[時間],[人名]駕駛[人名]所有[車號]自小客車,在[地點]發生車禍｡",-1.0,-1.0,-1.0,-1.0,0.0,0.0,,民國98年2月12日9時49分許，[姓名]駛[姓名]所有[車牌]自小客車，在臺南市文賢路與和緯路口與[姓名]騎乘      所有[車牌]機車發生車禍。,0,文賢路,2.0,1850.0,37.0,0,和緯路,1.0,1760.0,32.0,自小客車,機車,0,0,0
9800154,B.刑事,交通事故,390000000000000.0,,聲請人撤回,2.0,3.0,0.0,29.0,2009.0,3.0,78.0,2009.0,4.0,118.0,3.0,1.0,572.0,870.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,37.0,37.0,37.0,37.0,3.0,0.6666666666666666,0.3333333333333333,台南,"[時間],聲請人[人名]騎乘本人所有[車號]機車搭載[人名]與[人名]騎乘 所有[車號]機車,在[地點]發生車禍｡",-1.0,-1.0,-1.0,-1.0,,,,民國98年3月4日21時15分許，聲請人[姓名]騎乘本人所有[車牌]號機車搭載[姓名]與[姓名]騎乘                 所有[車牌]號機車，在臺南市北區長北街與北華街路口處發生車禍。,0,長北街,1.0,1760.0,32.0,0,北華街,1.0,860.0,32.0,機車,機車,0,0,0
9800157,B.刑事,交通事故,390000000000000.0,385000000000000.0,成立,6.0,3.0,1.0,53.0,2009.0,3.0,86.0,2009.0,6.0,160.0,4.0,1.0,874.0,840.0,0.0,0.0,1.0,1.0,2.0,0.6666666666666666,1.0,1.0,0.0,1.0,0.0,60.66666666666666,62.0,54.0,66.0,3.0,0.0,0.0,台南,"[時間],[人名]騎乘(車號:[車號])機車與[人名]駕駛(車號:[車號])自小客車,在[地點]發生車禍,[人名]受傷｡",-1.0,-1.0,-1.0,-1.0,2.0,2.0,1.0,民國97年12月18日9時55分許，[姓名]騎乘（車號：[車牌]號）機車與[姓名]駛（車號：[車牌]號）自小客車，在臺南市中西區成功路與忠義路口發生車禍,0,成功路,1.0,1860.0,50.0,0,忠義路,1.0,1760.0,32.0,機車,自小客車,0,0,0
9800159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,[姓名]指稱98年1月21日19時在台南市開元路73巷66之7號其所有之電動車損壞，與[姓名]、[姓名]致生糾紛98年4月2日下午2時30分召開調解，[姓名]表示因事無法到場，[姓名]到場時，[姓名]已離去，故98年5月13日[姓名]、[姓名]又就此事,1,開元路,3.0,2950.0,46.0,0,,,,,電動車,其他,0,0,1
9800162,B.刑事,交通事故,390000000000000.0,390000000000000.0,聲請人撤回,1.0,5.0,1.0,5.0,2009.0,3.0,86.0,2009.0,4.0,92.0,4.0,3.0,1054.0,960.0,0.0,0.0,1.0,0.0,3.0,0.6,1.0,2.0,1.0,1.0,0.0,50.333333333333336,60.0,31.0,60.0,5.0,0.4,0.2,台南,"[時間],[人名]本人所有(車號:[車號])自用小客車在[地點]遭[人名]駕駛伸陽汽車有限公司所有(車號:[車號])自用小客車擦撞,致雙方車損壞｡",-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,民國98年3月15日12時30分許，[姓名]本人所有（車號：[車牌]號）自用小客車在臺南市北區南園街101巷21弄44號遭[姓名]駛[公司]所有（車號：[車牌]號）自用小客車擦撞，致雙方車損壞。,1,南園街,1.0,1760.0,32.0,0,,,,,自小客車,自小客車,0,0,1
9800163,B.刑事,交通事故,390000000000000.0,390000000000000.0,成立,1.0,5.0,1.0,15.0,2009.0,3.0,79.0,2009.0,4.0,99.0,4.0,3.0,604.0,870.0,0.0,0.0,1.0,1.0,1.0,0.25,1.0,2.0,1.0,1.0,0.0,28.75,26.5,19.0,43.0,4.0,0.0,0.5,台南,"[時間],[人名]騎乘本人所有[車號]機車與[人名]駕駛[人名]所有[車號]自小客車,在[地點]發生車禍｡",-1.0,-1.0,-1.0,-1.0,0.0,0.0,,民國98年3月3日18時0分許，[姓名]騎乘本人所有[車牌]號機車與[姓名]駛[姓名]所有[車牌]號自小客車，在臺南市中華北路2段與海安路3段處發生車禍。,0,中華北路,2.0,1850.0,37.0,0,海安路,2.0,1850.0,37.0,機車,自小客車,0,0,0
9800165,B.刑事,交通事故,390000000000000.0,372000000000000.0,不成立,2.0,2.0,0.0,24.0,2009.0,3.0,88.0,2009.0,4.0,120.0,6.0,3.0,685.0,900.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,2.0,1.0,0.5,台南,"[時間],[人名]駕駛 所有[車號]自小客車與[人名]騎乘 所有[車號]機車,在[地點]發生車禍｡",-1.0,-1.0,-1.0,-1.0,0.0,0.0,,民國97年12月31日10時0分許，[姓名]駕駛所有[車牌]自小客車與[姓名]騎乘所有[車牌]機車，在臺南市北區成功路與自強街34巷口處發生車禍。,0,成功路,1.0,1860.0,50.0,1,自強街,1.0,860.0,32.0,自小客車,機車,0,0,0
9800168,B.刑事,交通事故,390000000000000.0,3.85e+19,成立,1.0,3.0,0.0,7.0,2009.0,3.0,88.0,2009.0,4.0,97.0,6.0,1.0,714.0,870.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.0,39.0,39.0,37.0,41.0,2.0,0.0,0.5,台南,"[時間],[人名]騎乘本人所有[車號]機車與[人名]駕駛[人名]所有[車號]自小客車,在[地點]發生車禍｡",-1.0,-1.0,-1.0,-1.0,0.0,0.0,,民國98年2月5日17時30分許，[姓名]騎乘本人所有[車牌]號機車與[姓名]駛[姓名]所有[車牌]號自小客車，在臺南市北區北園街發生車禍。,0,北園街,1.0,860.0,32.0,0,,,,,機車,自小客車,0,0,0
